fid,id,context,species_orig_pub,taxon,cf_genus,cf_sp,cf_subsp,s_type,s_foss,s_part,frr,sample_number,quantity,entity,weight_g,s_notes,AMS,discovery_report,bibliography,context_id,taxon_id,new_taxon_id,photo,qt,precise_taxon,Family,genus,specie,note
"4739","6111",Pit 181 - context 228,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,charring,seed,false,"0",<213 ,<213 ,,,,,"Clark, G.,_Costantini, L.,_Finetti, A.,_Giorgi, J.,_Jones, A.,_Reese, D.,_Sutherland, S.,_Whitehouse, D._1989_The food refuse of an affluent urban household in the late fourteenth century: Faunal and botanical remains from the Palazzo Vitelleschi, Tarquinia (Viterbo)_Papers of the British School at Rome, 57_200-321","531","9","11130",,,Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4740","6112",Pit 181 - context 230,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,mineralization,seed,false,"0","22",,,,,,"Clark, G.,_Costantini, L.,_Finetti, A.,_Giorgi, J.,_Jones, A.,_Reese, D.,_Sutherland, S.,_Whitehouse, D._1989_The food refuse of an affluent urban household in the late fourteenth century: Faunal and botanical remains from the Palazzo Vitelleschi, Tarquinia (Viterbo)_Papers of the British School at Rome, 57_200-321","536","9","11130",,"22",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4741","6113",Pit 181 - context 234,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,mineralization,seed,false,"0","3300",,,,,,"Clark, G.,_Costantini, L.,_Finetti, A.,_Giorgi, J.,_Jones, A.,_Reese, D.,_Sutherland, S.,_Whitehouse, D._1989_The food refuse of an affluent urban household in the late fourteenth century: Faunal and botanical remains from the Palazzo Vitelleschi, Tarquinia (Viterbo)_Papers of the British School at Rome, 57_200-321","543","9","11130",,"3300",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4742","6114",Pit 181 - context 236,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,mineralization,seed,false,"0","2130",,,,,,"Clark, G.,_Costantini, L.,_Finetti, A.,_Giorgi, J.,_Jones, A.,_Reese, D.,_Sutherland, S.,_Whitehouse, D._1989_The food refuse of an affluent urban household in the late fourteenth century: Faunal and botanical remains from the Palazzo Vitelleschi, Tarquinia (Viterbo)_Papers of the British School at Rome, 57_200-321","533","9","11130",,"2130",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4743","6115",Pit 181 - context 237,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,mineralization,grain,false,"0",<1800 ,<1800 ,,,,,"Clark, G.,_Costantini, L.,_Finetti, A.,_Giorgi, J.,_Jones, A.,_Reese, D.,_Sutherland, S.,_Whitehouse, D._1989_The food refuse of an affluent urban household in the late fourteenth century: Faunal and botanical remains from the Palazzo Vitelleschi, Tarquinia (Viterbo)_Papers of the British School at Rome, 57_200-321","537","9","11130",,,Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4744","6116",Pit 181 - context 237,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,charring,grain,false,"0",<1800 ,<1800 ,,,,,"Clark, G.,_Costantini, L.,_Finetti, A.,_Giorgi, J.,_Jones, A.,_Reese, D.,_Sutherland, S.,_Whitehouse, D._1989_The food refuse of an affluent urban household in the late fourteenth century: Faunal and botanical remains from the Palazzo Vitelleschi, Tarquinia (Viterbo)_Papers of the British School at Rome, 57_200-321","537","9","11130",,,Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4745","6117",Pit 4 - context 18,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,mineralization,seed,false,"0","2340",,,,,,"Clark, G.,_Costantini, L.,_Finetti, A.,_Giorgi, J.,_Jones, A.,_Reese, D.,_Sutherland, S.,_Whitehouse, D._1989_The food refuse of an affluent urban household in the late fourteenth century: Faunal and botanical remains from the Palazzo Vitelleschi, Tarquinia (Viterbo)_Papers of the British School at Rome, 57_200-321","539","9","11130",,"2340",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4746","6118",Pit 4 - context 19,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,mineralization,seed,false,"0","1650",,,,,,"Clark, G.,_Costantini, L.,_Finetti, A.,_Giorgi, J.,_Jones, A.,_Reese, D.,_Sutherland, S.,_Whitehouse, D._1989_The food refuse of an affluent urban household in the late fourteenth century: Faunal and botanical remains from the Palazzo Vitelleschi, Tarquinia (Viterbo)_Papers of the British School at Rome, 57_200-321","548","9","11130",,"1650",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4747","6119",Pit 9 - context 20,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,mineralization,seed,false,"0","195",,,,,,"Clark, G.,_Costantini, L.,_Finetti, A.,_Giorgi, J.,_Jones, A.,_Reese, D.,_Sutherland, S.,_Whitehouse, D._1989_The food refuse of an affluent urban household in the late fourteenth century: Faunal and botanical remains from the Palazzo Vitelleschi, Tarquinia (Viterbo)_Papers of the British School at Rome, 57_200-321","542","9","11130",,"195",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4749","6130",Capanna,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,charring,Unspecified,false,"0",,,,,,1986-1993,"Celant, A.,_De Santis, A._Merlo, R.,_De Grossi Mazzorin, J.,_1998_Fidene: una casa dell'Età del ferro. Mondadori Electa_1-47","642","9","11130",,,Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4752","6133",undet. (Lago di Caterno),Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,Unspecified,Unspecified,false,"0",,,,,,,"Costantini, L._2002_Italia centro-meridionale_Storia dell’agricoltura italiana, 1_221-233","650","9","11130",,,Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4753","6134",undet. (Anguillara Sabazia La Marmotta) - Early neolitic,Vitis vinifera silvestris,Vitis vinifera L.,false,false,false,carpological,Unspecified,Unspecified,false,"0",,,,,,,"Costantini, L._2002_Italia centro-meridionale_Storia dell’agricoltura italiana, 1_221-233","39","9","11130",,,Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4754","6135",undet. (Anguillara Sabazia La Marmotta) - ca. 5700-5250 Bc.,Vitis vinifera subsp. sylvestris,Vitis vinifera L.,false,false,false,carpological,waterlogging,seed,false,"0",,common,,,,"1989","Rottoli, M._1993_Analisi paletnobotaniche: prime risultanze,“La Marmotta”, Anguillara Sabazia (RM), Scavi 1989, Appendice 1, Un abitato perilacustre di età neolitica_Bull di Paletnologia Italiana, 84_305-315","38","9","11130",,,Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4755","6136",undet. (Roma Testaccio Nuovo Mercato),,Vitis vinifera L.,false,false,false,carpological,Unspecified,Unspecified,false,"0",,,,,,,"Stellati, A.,_Colaianni, G.,_Fiorentino, G.,_Sebastiani, R.,_Contino, A._2013_Land use and crop production in the urban area of Rome: new data from the “Nuovo Mercato” of Monte Testaccio (Rome, Italy)_In 16th Conference of the International Work Group for Palaeoethnobotany-Abstract Book_158-159","322","9","11130",,,Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4756","6137",Context n° 22,Vitis vinifera silvestris,Vitis vinifera L.,false,false,false,carpological,charring,seed,false,,"1",,,,6245 ± 90 BP 2σ 5429 - 4962 BC,"1992","Costantini, L._2002_Italia centro-meridionale_Storia dell’agricoltura italiana, 1_221-233_Costantini L., Stancarelli M._1994_Origini: preistoria e protostoria delle civiltà anctiche XVIII_pp. 149-244_Malone, C.,_Stoddart, S._1992_The neolithic site of San Marco, Gubbio (Perugia), Umbria: survey and excavation 1985–7_Papers of the British School at Rome, 60_1-69","1110","9","11130",,"1",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4757","6138",Trench 10000(context:10007),Vitis sp.,Vitis vinifera L.,false,false,false,carpological,charring,seed ,true,"10007.6","2",,,,,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361","123","9","11130",,"2",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4758","6139",Trench 8000(context:8031),Vitis sp.,Vitis vinifera L.,false,false,false,carpological,charring,seed ,true,8031.14_HF,,,,center,,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361","146","9","11130",,,Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4759","6140",Trench 8000(context:8033),Vitis sp.,Vitis vinifera L.,false,false,false,carpological,charring,seed ,true,8033.16_HF,,,,west,,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361","145","9","11130",,,Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4760","6141",Trench 8000(context:8041),Vitis sp.,Vitis vinifera L.,false,false,false,carpological,charring,seed ,true,8041.25_HF,"5",,,west,,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361","119","9","11130",,"5",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4761","6142",Trench 8000(context:8041),Vitis sp.,Vitis vinifera L.,false,false,false,carpological,charring,seed ,true,8041.59_HF,"3",,,west,,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361","119","9","11130",,"3",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4762","6143",Trench 8000(context:8058),Vitis sp.,Vitis vinifera L.,false,false,false,carpological,charring,seed ,true,8058.38_HF,"3",,,center-south,,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361","127","9","11130",,"3",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4763","6144",Trench 8000(context:8058),Vitis sp.,Vitis vinifera L.,false,false,false,carpological,charring,seed ,true,"8058.64",,,,center-south,,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361","127","9","11130",,,Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4764","6145",Trench 8000(context:8058),Vitis sp.,Vitis vinifera L.,false,false,false,carpological,charring,seed,false,"8058.63","1",,,center-south,,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361","127","9","11130",,"1",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4765","6146",Trench 8000(context:8058),Vitis sp.,Vitis vinifera L.,false,false,false,carpological,charring,seed ,true,8058.63_HF,"2",,,center-south,,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361","127","9","11130",,"2",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4766","6147",Trench 8000(context:8058),Vitis sp.,Vitis vinifera L.,false,false,false,carpological,charring,seed ,true,8058.54_HF,"4",,,center-south,,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361","127","9","11130",,"4",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4767","6148",Trench 8000(context:8070),Vitis sp.,Vitis vinifera L.,false,false,false,carpological,charring,seed ,true,8070.60_HF,,,,center-south,,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361","141","9","11130",,,Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4768","6149",Trench 8000(context:8067),Vitis sp.,Vitis vinifera L.,false,false,false,carpological,charring,seed ,true,8067.46_HF,,,,,,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361","153","9","11130",,,Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4769","6150",Trench 8000(context:8012),Vitis sp.,Vitis vinifera L.,false,false,false,carpological,charring,seed ,true,8012.56_HF,"2",,,,,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361","144","9","11130",,"2",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4770","6151",Trench 8000(context:8075),Vitis sp.,Vitis vinifera L.,false,false,false,carpological,charring,seed ,true,8075.61_HF,,,,,,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361","166","9","11130",,,Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4771","6152",Trench 8000(context:8054),Vitis sp.,Vitis vinifera L.,false,false,false,carpological,charring,seed ,true,8054.34_HF,"3",,,center,,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361","156","9","11130",,"3",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4772","6153",Trench 8000(context:8052),Vitis sp.,Vitis vinifera L.,false,false,false,carpological,charring,seed ,true,8052.27.1_HF,,,,center-south,,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361","150","9","11130",,,Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4773","6154",Trench 8000(context:8052),Vitis sp.,Vitis vinifera L.,false,false,false,carpological,charring,seed ,true,8052.27.3_HF,,,,center-south,,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361","150","9","11130",,,Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4774","6155",Trench 8000(context:8052),Vitis sp.,Vitis vinifera L.,false,false,false,carpological,charring,seed ,true,8052.30.1_HF,"2",,,center-south,,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361","150","9","11130",,"2",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4775","6156",Trench 8000(context:8015),Vitis sp.,Vitis vinifera L.,false,false,false,carpological,charring,seed ,true,8015.15_HF,"3",,,southwest,,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361","138","9","11130",,"3",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4776","6157",Trench 8000(context:8017),Vitis sp.,Vitis vinifera L.,false,false,false,carpological,charring,seed ,true,8017.9_HF,"2",,,southwest,,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361","129","9","11130",,"2",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4777","6158",Trench 8000(context:8017),Vitis sp.,Vitis vinifera L.,false,false,false,carpological,charring,seed ,true,8017.20_HF,,,,southwest,,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361","129","9","11130",,,Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4778","6159",Trench 8000(context:8006),Vitis sp.,Vitis vinifera L.,false,false,false,carpological,charring,seed ,true,8006.1_HF,"2",,,southwest,,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361","137","9","11130",,"2",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4779","6160",Trench 8000(context:8011),Vitis sp.,Vitis vinifera L.,false,false,false,carpological,charring,seed ,true,8011.12_HF,,,,southwest,,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361","130","9","11130",,,Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4780","6161",Trench 8000(context:8053),Vitis sp.,Vitis vinifera L.,false,false,false,carpological,charring,seed ,true,8053.29_HF,"4",,,northwest,,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361","124","9","11130",,"4",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4781","6162",Trench 8000(context:8053),Vitis sp.,Vitis vinifera L.,false,false,false,carpological,charring,pedicel,false,8053.29_HF,"1",,,northwest,,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361","124","9","11130",,"1",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4782","6163",Trench 8000(context:8053),Vitis sp.,Vitis vinifera L.,false,false,false,carpological,charring,seed ,true,8053.28_HF,"3",,,northwest,,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361","124","9","11130",,"3",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4783","6164",Trench 8000(context:8060),Vitis sp.,Vitis vinifera L.,false,false,false,carpological,charring,seed ,true,8060.43_HF,,,,northwest,,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361","139","9","11130",,,Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4784","6165",Trench 8000(context:8026),Vitis sp.,Vitis vinifera L.,false,false,false,carpological,charring,seed ,true,8026.8_HF,,,,,,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361","157","9","11130",,,Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4785","6166",Trench 8000(context:undet. (Acquachiara)),Vitis sp.,Vitis vinifera L.,false,false,false,carpological,charring,seed,false,,,,,,,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361","158","9","11130",,,Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4786","6167",Trench 8000(context:undet. (Acquachiara)),Vitis sp.,Vitis vinifera L.,false,false,false,carpological,charring,seed ,true,,,,,,,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361","158","9","11130",,,Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4787","6168",Trench 10000(context:Small pit),Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,charring,flesh of a grape,false,ACQ 10011.8,"3",,,,1870 ± 50 B.P.,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361","167","9","11130",,"3",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4788","6169",Trench 10000(context:7011),Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,charring,seed,false,"7011","1",,,,,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361","159","9","11130",,"1",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4789","6170",Trench 10000(context:10011),Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,charring,fruits,false,"10011.8","9",,,,,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361","140","9","11130",,"9",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4790","6171",Trench 10000(context:10011),Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,charring,fruit ,true,"10011.8","9",,,,,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361","140","9","11130",,"9",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4791","6172",Trench 10000(context:10011),Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,charring,seed,false,"10011.8","6",,,,,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361","140","9","11130",,"6",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4792","6173",Trench 10000(context:10011),Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,charring,seed ,true,"10011.8","9",,,,,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361","140","9","11130",,"9",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4793","6174",Trench 10000(context:10011),Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,charring,pedicels,false,"10011.8","4",,,,,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361","140","9","11130",,"4",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4794","6175",Trench 10000(context:10011),Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,charring,seed,false,10011.8_HF,"20",,,,,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361","140","9","11130",,"20",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4795","6176",Trench 10000(context:10011),Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,charring,pedicels,false,10011.8_HF,"12",,,,,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361","140","9","11130",,"12",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4796","6177",Trench 10000(context:10022),Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,charring,pedicel,false,"10022.17","17",,,,,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361","125","9","11130",,"17",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4797","6178",Trench 10000(context:10007),Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,charring,fruit ,true,"10007.6","4",,,,,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361","123","9","11130",,"4",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4798","6179",Trench 10000(context:10007),Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,charring,seed ,true,10007.7_HF,"2",,,,,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361","123","9","11130",,"2",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4799","6180",undet. (Celano - Le paludi) - 17th-10th century BC,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,charring,,false,,,,,,,1987-1988,"Coubray, S._1991_Indagini paletnobotaniche presso il sito abruzzese di età protostorica delle Paludi di Celano_""Atti del Convegno di Archeologia” Il Fucino e le aree limitrofe nell’antichità, Avezzano 1989_174-198","203","9","11130",,,Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4800","6181",undet. (Celano - Le paludi) - 17th-10th century BC,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,waterlogging,,false,,,,,,,1987-1988,"Coubray, S._1991_Indagini paletnobotaniche presso il sito abruzzese di età protostorica delle Paludi di Celano_""Atti del Convegno di Archeologia” Il Fucino e le aree limitrofe nell’antichità, Avezzano 1989_174-198","203","9","11130",,,Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4801","6182",Fondo del Fossato,vitis vinifera,Vitis vinifera L.,false,false,false,carpological,charring,pip,,,,,,,,"2008","Carra, M._2010_Castello di Gerione: l’utilizzo delle risorse vegetali. Analisi dei macroresti prelevati nelle campagne di scavo 2008 e 2009_Castello di Gerione. Ricerche topografiche e scavi. Atlante tematico di Topografia Antica_159-174","809","9","11130",,,Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4802","6183",Pozzetto,vitis vinifera,Vitis vinifera L.,false,false,false,carpological,charring,pip,,,29.10%,29.10%,,,,"1980","Carannante A.,_De Rubeis, F.,_Marazzi, F._2008_Monasteri in Europa occidentale, secoli VIII-XI: topografia e strutture_Proceedings of the International Conference (Castel San Vincenzo, September 23rd–26th 2004, Vol. 95)_385-403","840","9","11130",,,Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4803","6184",Scivolo,vitis vinifera,Vitis vinifera L.,false,false,false,carpological,charring,pip,,,,,,,,"1980","Carannante A.,_De Rubeis, F.,_Marazzi, F._2008_Monasteri in Europa occidentale, secoli VIII-XI: topografia e strutture_Proceedings of the International Conference (Castel San Vincenzo, September 23rd–26th 2004, Vol. 95)_385-403","844","9","11130",,,Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4804","6236",US 10055,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,charring,pip,,M14,"2",,,,,,"Mercuri, A.M.,_Rattighieri, E.,_Rinaldi, R._2021_The Roman Peasant Project 2009-2014: Excavating the Roman Rural Poor (Vol. 154)_University of Pennsylvania Press_317-336","954","9","11130",,"2",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4806","6185",undet. (San Vincenzo al Volturno),Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,charring,pip,,,"1428",,,the number of remains found is not related to a specific stratigraphic unit but to the total sum of studied remains,,2001-2002,"Carannante, A.,_Marazzi, F.,_Gobbi, A._2007_Il lavoro nella Regola. L'approvvigionamento alimentare e il cantiere edile a San Vincenzo al Volturno fra IX e XI secolo_QUADERNI DELLA RICERCA SCIENTIFICA, SERIE BENI CULTURALI 8_1-268","845","9","11130",,"1428",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4807","6186",undet. (D85 - Santa Maria in Civita),Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,charring,pip,,,,***,,,,1974-1978,"Webley, D._ 1980_Excavations at D85 (Santa Maria in Civita): an early medieval hilltop settlement in Molise_Papers of the British School at Rome_48, 70-124","791","9","11130",,,Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4808","6187",Trench C - Deposit 93,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,charring,Pedicel,,,"1",,,,,"1978","Van der Veen, M._1985_An early medieval hilltop settlement in Molise: the plant remains from D85_Papers of the British School at Rome, 53_211-224","795","9","11130",,"1",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4809","6188",Trench C - Deposit 131,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,charring,pip,,,"1",,,,,"1978","Van der Veen, M._1985_An early medieval hilltop settlement in Molise: the plant remains from D85_Papers of the British School at Rome, 53_211-224","796","9","11130",,"1",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4810","6189",Trench C - Deposit 131,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,charring,Pedicel,,,"1",,,,,"1978","Van der Veen, M._1985_An early medieval hilltop settlement in Molise: the plant remains from D85_Papers of the British School at Rome, 53_211-224","796","9","11130",,"1",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4811","6190",Trench C - Deposit 133,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,charring,pip,,,"4",,,,,"1978","Van der Veen, M._1985_An early medieval hilltop settlement in Molise: the plant remains from D85_Papers of the British School at Rome, 53_211-224","797","9","11130",,"4",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4812","6191",Trench D - Deposit 94,Vitis vinifera ,Vitis vinifera L.,false,false,false,carpological,charring,pip,,,"2",,,,,"1978","Van der Veen, M._1985_An early medieval hilltop settlement in Molise: the plant remains from D85_Papers of the British School at Rome, 53_211-224","800","9","11130",,"2",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
